#,Game Title,Description,Genre,Age Rating,Price
55,Oxygen Not Included,Manage a colony deep underground.,Colony Sim,10+,24.99
56,Slime Rancher,Collect and raise adorable slimes.,Farming Adventure,10+,19.99
57,Slime Rancher 2,Explore a colorful slime‑filled world.,Farming Adventure,10+,29.99
58,Raft,Survive on a raft in the open ocean.,Survival Co‑op,10+,19.99
59,Grounded,Survive the backyard as a tiny human.,Survival Adventure,10+,39.99
60,Sea of Thieves,Sail the seas with friends as pirates.,Co‑op Adventure,13+,39.99
61,The Witcher 3,Epic fantasy RPG with deep story.,RPG,17+,39.99
62,Fallout 4,Explore a post‑apocalyptic wasteland.,Open World RPG,17+,29.99
63,Fallout: New Vegas,Classic post‑apocalyptic RPG.,RPG,17+,9.99
64,Skyrim,Explore a massive fantasy world.,Open World RPG,13+,39.99
65,Doom Eternal,"Fast, brutal demon‑slaying action.",FPS Shooter,17+,59.99
66,Doom (2016),Reboot of the classic demon shooter.,FPS Shooter,17+,19.99
67,Borderlands 3,Loot‑heavy co‑op shooter.,Looter Shooter,17+,59.99
68,Borderlands 2,Co‑op looter shooter with humor.,Looter Shooter,17+,19.99
69,Metro Exodus,Story‑driven post‑apocalyptic shooter.,FPS Shooter,17+,39.99
70,The Division 2,Tactical looter shooter.,Looter Shooter,17+,29.99
71,Rainbow Six Siege,Tactical 5v5 shooter.,Tactical Shooter,17+,19.99
72,Escape from Tarkov,Hardcore extraction shooter.,Tactical Shooter,17+,44.99
73,Hunt: Showdown,PvPvE bounty hunting shooter.,Survival Shooter,17+,39.99
74,Payday 2,Co‑op heist shooter.,Co‑op Shooter,17+,9.99
75,Deep Rock Galactic,Co‑op mining and shooting.,Co‑op Shooter,13+,29.99
76,Helldivers 2,Co‑op alien‑slaying chaos.,Co‑op Shooter,17+,39.99
77,Monster Hunter: World,Hunt giant monsters with friends.,Action RPG,13+,29.99
78,Monster Hunter Rise,Fast monster‑hunting action.,Action RPG,13+,39.99
79,Dark Souls III,Challenging dark fantasy combat.,Action RPG,17+,59.99
80,Sekiro: Shadows Die Twice,Precision combat in feudal Japan.,Action Adventure,17+,59.99
81,Nioh 2,"Fast, punishing samurai combat.",Action RPG,17+,49.99
82,Ghost of Tsushima (PC),Samurai open‑world adventure.,Action Adventure,17+,59.99
83,The Last of Us Part I,Emotional post‑apocalyptic story.,Action Adventure,17+,59.99
84,Days Gone,Survive hordes of infected.,Open World Action,17+,49.99
85,Death Stranding,Deliver packages across a ruined world.,Adventure,17+,59.99
86,Control,Supernatural action in a shifting building.,Action Adventure,17+,39.99
87,Alan Wake Remastered,Horror‑driven mystery thriller.,Horror Adventure,17+,29.99
88,Alan Wake 2,Psychological horror story.,Horror,17+,59.99
89,Outlast,Survive a terrifying asylum.,Horror,17+,19.99
90,Outlast 2,First‑person horror in rural America.,Horror,17+,29.99
91,Amnesia: The Dark Descent,Classic first‑person horror.,Horror,17+,19.99
92,Amnesia: Rebirth,Story‑driven horror adventure.,Horror,17+,29.99
93,Little Nightmares,"Dark, atmospheric puzzle adventure.",Puzzle Horror,13+,19.99
94,Little Nightmares II,Escape creepy creatures and worlds.,Puzzle Horror,13+,29.99
95,Ori and the Will of the Wisps,Beautiful platforming adventure.,Platformer,10+,29.99
96,Cuphead,Hand‑drawn boss‑rush platformer.,Platformer,10+,19.99
97,Shovel Knight,Retro‑style action platformer.,Platformer,10+,24.99
98,Katana ZERO,"Fast, stylish action with time manipulation.",Action,17+,14.99
99,Hotline Miami,"Fast, violent top‑down action.",Action,17+,9.99
100,Enter the Gungeon,Bullet‑hell roguelike shooter.,Roguelike Shooter,13+,14.99
101,The Binding of Isaac: Rebirth,Randomized dungeons full of monsters and items.,Roguelike,17+,14.99
102,The Binding of Isaac: Repentance,Massive expansion with new characters and levels.,Roguelike,17+,19.99
103,Spelunky,Explore dangerous caves full of traps.,Roguelike Platformer,10+,14.99
104,Spelunky 2,"More traps, more chaos, more caves.",Roguelike Platformer,10+,29.99
105,Risk of Rain,2D action roguelike with scaling difficulty.,Action Roguelike,13+,9.99
106,Loop Hero,Build worlds while fighting monsters.,Strategy Roguelike,10+,14.99
107,Darkest Dungeon,Brutal turn‑based dungeon crawling.,Strategy RPG,17+,24.99
108,Darkest Dungeon II,Road‑trip style roguelike adventure.,Strategy RPG,17+,39.99
109,Divinity: Original Sin 2,Deep turn‑based fantasy RPG.,RPG,13+,44.99
110,Pillars of Eternity,Classic isometric fantasy RPG.,RPG,13+,29.99
111,Pillars of Eternity II,Sail and explore a magical world.,RPG,13+,39.99
112,Path of Exile,Deep skill‑tree action RPG.,Action RPG,13+,0
113,Grim Dawn,Dark fantasy action RPG.,Action RPG,13+,24.99
114,Diablo III,Fight demons and collect loot.,Action RPG,13+,19.99
115,Diablo IV,Dark open‑world demon‑slaying.,Action RPG,17+,69.99
116,Torchlight II,Colorful action RPG with loot.,Action RPG,10+,19.99
117,Pathologic 2,Survive a plague‑ridden town.,Survival Horror,17+,34.99
118,The Long Dark,Survive the frozen wilderness.,Survival,13+,34.99
119,Project Zomboid,Deep zombie survival simulation.,Survival,17+,19.99
120,7 Days to Die,"Craft, build, and survive zombies.",Survival,17+,24.99
121,Kenshi,Open‑ended squad‑based sandbox.,Sandbox RPG,17+,29.99
122,Mount & Blade II: Bannerlord,Lead armies and build kingdoms.,Strategy RPG,13+,49.99
123,Mount & Blade: Warband,Classic medieval sandbox combat.,Strategy RPG,13+,19.99
124,Total War: Warhammer III,Massive fantasy battles and strategy.,Strategy,13+,59.99
125,Total War: Three Kingdoms,Epic battles in ancient China.,Strategy,13+,59.99
126,Civilization VI,Build a civilization through the ages.,Strategy,10+,59.99
127,Civilization V,Classic turn‑based strategy.,Strategy,10+,29.99
128,Stellaris,Explore and rule the galaxy.,Strategy,10+,39.99
129,Crusader Kings III,Medieval dynasty simulation.,Strategy,13+,49.99
130,Hearts of Iron IV,WWII grand strategy.,Strategy,13+,39.99
131,Europa Universalis IV,Deep global strategy.,Strategy,13+,39.99
132,Frostpunk,Survive in a frozen city.,City Builder,13+,29.99
133,Banished,Manage a struggling medieval town.,City Builder,10+,19.99
134,Anno 1800,Build and manage industrial cities.,City Builder,10+,59.99
135,Tropico 6,Rule an island as “El Presidente.”,City Builder,13+,49.99
136,Planet Zoo,Build and manage a zoo.,Simulation,10+,44.99
137,Planet Coaster,Build theme parks and rides.,Simulation,10+,44.99
138,Zoo Tycoon: Ultimate Animal Collection,Manage a zoo with animals and guests.,Simulation,10+,29.99
139,RollerCoaster Tycoon Classic,Classic park‑building fun.,Simulation,10+,5.99
140,House Flipper,Renovate and sell houses.,Simulation,10+,24.99
141,PowerWash Simulator,Clean everything with a power washer.,Simulation,10+,24.99
142,Cooking Simulator,Cook meals in a realistic kitchen.,Simulation,10+,19.99
143,PC Building Simulator,Build and repair PCs.,Simulation,10+,19.99
144,Car Mechanic Simulator 2021,Fix and restore cars.,Simulation,10+,29.99
145,Farming Simulator 22,Run a modern farm.,Simulation,10+,49.99
146,SnowRunner,Drive heavy vehicles through mud and snow.,Driving Sim,10+,29.99
147,MudRunner,Off‑road vehicle challenges.,Driving Sim,10+,19.99
148,BeamNG.drive,Realistic soft‑body car physics.,Driving Sim,10+,24.99
149,Teardown,Destroy buildings with physics‑based tools.,Sandbox,10+,29.99
150,Besiege,Build machines to complete physics challenges.,Sandbox Builder,10+,14.99
151,Scrap Mechanic,Build vehicles and machines in a sandbox world.,Sandbox Builder,10+,19.99
152,Trailmakers,Build vehicles and explore open worlds.,Sandbox Builder,10+,24.99
153,Space Engineers,Build ships and bases in space.,Sandbox Builder,10+,19.99
154,Kerbal Space Program,Build rockets and explore space.,Space Sim,10+,39.99
155,Kerbal Space Program 2,Expanded space exploration sandbox.,Space Sim,10+,49.99
156,Astroneer,Explore colorful planets and gather resources.,Space Adventure,10+,29.99
157,Satisfactory,Build massive automated factories.,Automation Sim,10+,29.99
158,Dyson Sphere Program,Build a galaxy‑spanning factory.,Automation Sim,10+,19.99
159,Surviving Mars,Build a colony on Mars.,Colony Sim,10+,29.99
160,Surviving the Aftermath,Rebuild society after apocalypse.,Colony Sim,13+,29.99
161,Frostpunk 2,Survive and manage a frozen society.,City Builder,17+,59.99
162,Timberborn,Build a beaver‑run city.,City Builder,10+,24.99
163,The Planet Crafter,Terraform a dead planet into a living one.,Survival Crafting,10+,19.99
164,Valheim,Viking co‑op survival adventure.,Survival,13+,19.99
165,Conan Exiles,Survive and build in a brutal world.,Survival,17+,39.99
166,Enshrouded,Co‑op survival with magic and exploration.,Survival RPG,13+,29.99
167,Palworld,Catch creatures and survive with guns.,Survival Adventure,13+,29.99
168,The Outlast Trials,Co‑op horror survival.,Horror Co‑op,17+,39.99
169,The Evil Within,Survive twisted nightmares.,Horror,17+,19.99
170,The Evil Within 2,Story‑driven psychological horror.,Horror,17+,29.99
171,Resident Evil 2 Remake,Survive zombies in Raccoon City.,Horror,17+,39.99
172,Resident Evil 3 Remake,Escape Nemesis in this horror remake.,Horror,17+,39.99
173,Resident Evil 7,First‑person survival horror.,Horror,17+,29.99
174,Resident Evil Village,Gothic horror adventure.,Horror,17+,59.99
175,Dead by Daylight,4v1 multiplayer horror.,Horror Multiplayer,17+,19.99
176,Friday the 13th,Asymmetrical horror survival.,Horror Multiplayer,17+,19.99
177,The Texas Chain Saw Massacre,4v3 horror multiplayer.,Horror Multiplayer,17+,39.99
178,The Quarry,Narrative teen horror story.,Horror Adventure,17+,59.99
179,Until Dawn (PC),Interactive horror story.,Horror Adventure,17+,49.99
180,Man of Medan,Interactive horror anthology.,Horror Adventure,17+,29.99
181,Little Hope,Supernatural horror story.,Horror Adventure,17+,29.99
182,House of Ashes,Military horror adventure.,Horror Adventure,17+,29.99
183,The Devil in Me,Serial killer horror story.,Horror Adventure,17+,39.99
184,The Talos Principle,Philosophical puzzle exploration.,Puzzle,10+,29.99
185,The Talos Principle 2,Expanded puzzle adventure.,Puzzle,10+,49.99
186,The Witness,Explore an island full of puzzles.,Puzzle,10+,39.99
187,Baba Is You,Change game rules to solve puzzles.,Puzzle,10+,14.99
188,Human: Fall Flat,Physics‑based puzzle comedy.,Puzzle Co‑op,10+,19.99
189,Portal Stories: Mel,Fan‑made Portal puzzle campaign.,Puzzle,10+,0
190,Superliminal,Forced‑perspective puzzle game.,Puzzle,10+,19.99
191,The Stanley Parable,Narrative exploration with humor.,Adventure,10+,14.99
192,The Stanley Parable: Ultra Deluxe,Expanded narrative adventure.,Adventure,10+,29.99
193,Firewatch,Story‑driven mystery in the wilderness.,Adventure,13+,19.99
194,What Remains of Edith Finch,Emotional narrative exploration.,Adventure,13+,19.99
195,Life is Strange,Episodic story with choices.,Adventure,13+,19.99
196,Life is Strange 2,Road‑trip story with choices.,Adventure,13+,39.99
197,Life is Strange: True Colors,Empathy‑based narrative adventure.,Adventure,13+,59.99
198,Tell Me Why,Emotional story about family.,Adventure,13+,0
199,Oxenfree,Supernatural mystery adventure.,Adventure,13+,9.99
200,Oxenfree II: Lost Signals,Sequel to the supernatural mystery.,Adventure,13+,24.99
201,Night in the Woods,Story‑driven adventure about returning home.,Adventure,13+,19.99
202,Kentucky Route Zero,Surreal narrative road trip.,Adventure,13+,24.99
203,Spiritfarer,Cozy management game about helping spirits pass on.,Adventure,10+,29.99
204,Gris,Emotional platforming journey.,Platformer,10+,16.99
205,Journey (PC),Peaceful exploration through vast landscapes.,Adventure,10+,14.99
206,ABZÛ,Underwater exploration experience.,Adventure,10+,19.99
207,Flower,Relaxing movement‑based exploration.,Adventure,10+,6.99
208,Inside the Backrooms,Co‑op horror in maze‑like rooms.,Horror Co‑op,17+,9.99
209,Lethal Company,Co‑op scavenging with monsters.,Horror Co‑op,13+,9.99
210,Devour,Co‑op exorcism horror.,Horror Co‑op,17+,4.99
211,GTFO,Hardcore co‑op shooter with horror elements.,Co‑op Shooter,17+,39.99
212,Ready or Not,Tactical SWAT‑style shooter.,Tactical Shooter,17+,49.99
213,Insurgency: Sandstorm,Realistic tactical FPS.,Tactical Shooter,17+,29.99
214,Squad,Large‑scale military teamwork shooter.,Tactical Shooter,17+,49.99
215,Arma 3,Realistic military simulation.,Tactical Shooter,17+,29.99
216,DayZ,Open‑world zombie survival.,Survival,17+,44.99
217,SCUM,Deep survival with metabolism systems.,Survival,17+,39.99
218,Miscreated,Post‑apocalyptic survival.,Survival,17+,24.99
219,The Isle,Dinosaur survival experience.,Survival,13+,19.99
220,Path of Titans,Online dinosaur survival.,Survival,10+,29.99
221,Ark: Survival Ascended,Remake of the dinosaur survival game.,Survival,13+,44.99
222,Huntdown,Retro‑style action shooter.,Action,13+,19.99
223,Broforce,Over‑the‑top action platformer.,Action Platformer,13+,14.99
224,My Friend Pedro,Stylish slow‑mo gun action.,Action,17+,19.99
225,Katamari Damacy Reroll,Roll up objects in a quirky world.,Puzzle,10+,29.99
226,Tetris Effect: Connected,Beautiful reinvention of Tetris.,Puzzle,10+,39.99
227,Peggle Deluxe,Casual arcade puzzle fun.,Puzzle,10+,4.99
228,Peggle Nights,More Peggle levels and challenges.,Puzzle,10+,4.99
229,Geometry Dash,Rhythm‑based platforming.,Rhythm Platformer,10+,3.99
230,Beat Saber (PCVR),Rhythm VR lightsaber game.,Rhythm,10+,29.99
231,Thumper,“Rhythm violence” action.,Rhythm,10+,19.99
232,Crypt of the NecroDancer,Rhythm‑based dungeon crawling.,Rhythm Roguelike,10+,14.99
233,FTL: Faster Than Light,Manage a spaceship through danger.,Strategy,10+,9.99
234,Into the Breach,Tactical mech combat on small grids.,Strategy,10+,14.99
235,XCOM 2,Fight aliens with turn‑based tactics.,Strategy,13+,59.99
236,XCOM: Enemy Unknown,Classic turn‑based alien defense.,Strategy,13+,29.99
237,Gears Tactics,Fast‑paced tactical combat.,Strategy,17+,59.99
238,Desperados III,Stealth‑based tactical western.,Strategy,13+,49.99
239,Shadow Tactics: Blades of the Shogun,Stealth tactics in Edo‑period Japan.,Strategy,13+,39.99
240,Mutant Year Zero,Tactical combat with mutants.,Strategy RPG,13+,34.99
241,Wasteland 3,Post‑apocalyptic squad RPG.,RPG,17+,59.99
242,Disco Elysium,Deep narrative detective RPG.,RPG,17+,39.99
243,The Outer Worlds,Sci‑fi RPG with humor.,RPG,17+,59.99
244,GreedFall,Fantasy RPG with diplomacy.,RPG,17+,49.99
245,Kingdom Come: Deliverance,Realistic medieval RPG.,RPG,17+,29.99
246,Dragon’s Dogma: Dark Arisen,Action RPG with unique pawn system.,Action RPG,13+,29.99
247,Dragon’s Dogma 2,Large open‑world fantasy RPG.,Action RPG,17+,69.99
248,Tales of Arise,Anime‑style action RPG.,Action RPG,13+,59.99
249,Ni no Kuni II,Charming anime RPG adventure.,RPG,10+,59.99
250,Yakuza 0,Crime‑drama action adventure.,Action Adventure,17+,19.99
251,Yakuza Kiwami,Remake of the first Yakuza game.,Action Adventure,17+,19.99
252,Yakuza Kiwami 2,Remake of Yakuza 2 with updated visuals.,Action Adventure,17+,29.99
253,Yakuza 6: The Song of Life,Kiryu’s emotional final chapter.,Action Adventure,17+,29.99
254,Yakuza: Like a Dragon,Turn‑based RPG take on the series.,RPG,17+,59.99
255,Judgment,Detective action adventure in Kamurocho.,Action Adventure,17+,39.99
256,Lost Judgment,Sequel with expanded detective gameplay.,Action Adventure,17+,59.99
257,Sleeping Dogs,Open‑world martial arts crime drama.,Open World Action,17+,19.99
258,Mafia: Definitive Edition,Remake of the classic mob story.,Action Adventure,17+,39.99
259,Mafia II: Definitive Edition,Remastered mobster story.,Action Adventure,17+,29.99
260,Mafia III,Crime drama set in 1960s New Orleans.,Action Adventure,17+,39.99
261,Watch Dogs,Hacker‑focused open‑world action.,Open World Action,17+,29.99
262,Watch Dogs 2,Open‑world hacking with a lighter tone.,Open World Action,17+,49.99
263,Watch Dogs: Legion,Recruit anyone in futuristic London.,Open World Action,17+,59.99
264,Far Cry 3,Survive a tropical island ruled by pirates.,FPS Shooter,17+,19.99
265,Far Cry 4,Himalayan open‑world shooter.,FPS Shooter,17+,29.99
266,Far Cry 5,Fight a cult in rural America.,FPS Shooter,17+,59.99
267,Far Cry 6,Rebel against a dictator on a tropical island.,FPS Shooter,17+,59.99
268,Just Cause 3,Explosive open‑world chaos.,Open World Action,17+,19.99
269,Just Cause 4,More destruction and weather effects.,Open World Action,17+,39.99
270,Saints Row IV,Superpowered open‑world comedy.,Open World Action,17+,19.99
271,Saints Row: The Third Remastered,Over‑the‑top open‑world action.,Open World Action,17+,39.99
272,Mad Max,Post‑apocalyptic vehicular combat.,Action Adventure,17+,19.99
273,Middle‑earth: Shadow of Mordor,Nemesis‑system orc‑hunting action.,Action Adventure,17+,19.99
274,Shadow of War,Expanded Nemesis system and battles.,Action Adventure,17+,49.99
275,Hitman (2016),Stealth assassination sandbox.,Stealth,17+,39.99
276,Hitman 2,More locations and stealth options.,Stealth,17+,59.99
277,Hitman 3,Conclusion to the World of Assassination trilogy.,Stealth,17+,59.99
278,Metal Gear Solid V: The Phantom Pain,Open‑world stealth action.,Stealth,17+,29.99
279,Thief (2014),First‑person stealth adventure.,Stealth,17+,19.99
280,Dishonored,Stealth with supernatural powers.,Stealth,17+,19.99
281,Dishonored 2,Expanded stealth and powers.,Stealth,17+,29.99
282,Prey (2017),Sci‑fi immersive sim on a space station.,Action Adventure,17+,29.99
283,BioShock Remastered,Atmospheric underwater shooter.,FPS Shooter,17+,19.99
284,BioShock 2 Remastered,Return to Rapture with new mechanics.,FPS Shooter,17+,19.99
285,BioShock Infinite,Sky‑city shooter with story twists.,FPS Shooter,17+,29.99
286,Titan Quest Anniversary Edition,Mythology‑based action RPG.,Action RPG,13+,19.99
287,Grim Dawn: Definitive Edition,Expanded dark fantasy ARPG.,Action RPG,13+,64.99
288,Wolcen: Lords of Mayhem,Fast‑paced action RPG.,Action RPG,17+,39.99
289,Lost Ark,MMO action RPG with dungeons and raids.,MMO RPG,13+,0
290,New World,Fantasy MMO with territory control.,MMO RPG,13+,39.99
291,Black Desert Online,Fast‑action MMO with deep systems.,MMO RPG,13+,9.99
292,Guild Wars 2,Story‑driven MMO with dynamic events.,MMO RPG,13+,0
293,The Elder Scrolls Online,MMO set in the Elder Scrolls universe.,MMO RPG,13+,19.99
294,Final Fantasy XIV,Critically acclaimed MMO RPG.,MMO RPG,13+,19.99
295,RuneScape,Classic fantasy MMO.,MMO RPG,10+,0
296,Old School RuneScape,Retro version of the classic MMO.,MMO RPG,10+,0
297,Warhammer: Vermintide 2,Co‑op melee action against hordes.,Co‑op Action,17+,29.99
298,Darktide,Co‑op sci‑fi horde shooter.,Co‑op Shooter,17+,39.99
299,For Honor,Medieval melee combat with factions.,Fighting,17+,29.99
300,Chivalry 2,Large‑scale medieval battles.,Action,17+,39.99
301,Mordhau,Medieval multiplayer melee combat.,Action,17+,29.99
302,Hell Let Loose,Large‑scale WWII battles.,Tactical Shooter,17+,39.99
303,Enlisted,Squad‑based WWII shooter.,FPS Shooter,13+,0
304,Post Scriptum,Realistic WWII tactical shooter.,Tactical Shooter,17+,29.99
305,Rising Storm 2: Vietnam,Intense Vietnam‑era combat.,FPS Shooter,17+,24.99
306,Battlefield 1,WWI‑themed large‑scale battles.,FPS Shooter,17+,39.99
307,Battlefield V,WWII‑themed shooter.,FPS Shooter,17+,49.99
308,Battlefield 4,Modern military shooter.,FPS Shooter,17+,19.99
309,Titanfall,Fast‑paced mech shooter.,Sci‑Fi Shooter,17+,19.99
310,Halo: The Master Chief Collection,Collection of Halo campaigns and multiplayer.,FPS Shooter,13+,39.99
311,Halo Infinite,Arena shooter with campaign.,FPS Shooter,13+,59.99
312,Splitgate,Portal‑based arena shooter.,FPS Shooter,13+,0
313,Dirty Bomb,Fast‑paced team shooter.,FPS Shooter,13+,0
314,Warface,Free‑to‑play modern shooter.,FPS Shooter,13+,0
315,CrossfireX,Tactical shooter with fast gameplay.,FPS Shooter,13+,0
316,Paladins,Hero shooter with abilities.,Hero Shooter,13+,0
317,Overwatch 2,Team‑based hero shooter.,Hero Shooter,13+,0
318,Smite,Third‑person MOBA with gods.,MOBA,13+,0
319,League of Legends (via launcher),5v5 MOBA battles.,MOBA,13+,0
320,Heroes of the Storm,Blizzard’s hero‑based MOBA.,MOBA,13+,0
321,Brawlhalla,Platform fighting game.,Fighting,10+,0
322,Rivals of Aether,Indie platform fighter.,Fighting,10+,29.99
323,Skullgirls,Fast 2D fighting game.,Fighting,13+,24.99
324,Guilty Gear Strive,Stylish anime fighting game.,Fighting,13+,59.99
325,BlazBlue: Cross Tag Battle,Crossover anime fighter.,Fighting,13+,49.99
326,Dragon Ball FighterZ,Fast anime 3v3 fighter.,Fighting,13+,59.99
327,Naruto Shippuden: Ultimate Ninja Storm 4,Anime arena fighter.,Fighting,13+,29.99
328,Jump Force,Anime crossover fighter.,Fighting,13+,59.99
329,Tekken 7,3D fighting with deep mechanics.,Fighting,13+,39.99
330,Soulcalibur VI,Weapon‑based 3D fighting.,Fighting,13+,59.99
331,Injustice 2,Superhero fighting game.,Fighting,13+,49.99
332,Mortal Kombat X,Brutal 1v1 fighting.,Fighting,17+,19.99
333,Killer Instinct,Fast combo‑heavy fighter.,Fighting,13+,39.99
334,Forza Motorsport 7,Realistic track racing.,Racing Sim,10+,59.99
335,Assetto Corsa,Realistic driving simulation.,Racing Sim,10+,19.99
336,Assetto Corsa Competizione,GT racing simulation.,Racing Sim,10+,39.99
337,Project CARS 2,Realistic motorsport racing.,Racing Sim,10+,59.99
338,F1 2023,Formula 1 racing.,Racing,10+,59.99
339,Wreckfest,Destruction‑focused racing.,Racing,10+,29.99
340,Need for Speed Rivals,Cops vs racers arcade action.,Racing,10+,19.99
341,Need for Speed Payback,Cinematic street racing.,Racing,13+,29.99
342,Need for Speed Unbound,Stylish street racing.,Racing,13+,69.99
343,Burnout Paradise Remastered,High‑speed open‑world racing.,Racing,10+,19.99
344,Hot Wheels Unleashed,Arcade racing with toy cars.,Racing,10+,49.99
345,Trackmania,Fast time‑trial racing.,Racing,10+,0
346,The Crew 2,"Open‑world racing with cars, boats, planes.",Racing,10+,59.99
347,The Crew Motorfest,Island‑themed open‑world racing.,Racing,10+,69.99
348,Dirt Rally 2.0,Realistic rally racing.,Racing Sim,10+,39.99
349,SnowRunner: Premium Edition,Off‑road vehicle challenges.,Driving Sim,10+,49.99
350,Euro Truck Simulator,Drive trucks across Europe.,Driving Sim,10+,9.99
351,Bus Simulator 21,Drive buses across realistic routes.,Driving Sim,10+,34.99
352,Train Sim World 4,Operate realistic trains across detailed tracks.,Simulation,10+,49.99
353,Microsoft Flight Simulator,Ultra‑realistic global flight simulation.,Flight Sim,10+,59.99
354,X‑Plane 12,Professional‑grade flight simulation.,Flight Sim,10+,59.99
355,Ace Combat 7,Cinematic jet‑fighter action.,Flight Action,13+,59.99
356,IL‑2 Sturmovik: Great Battles,Realistic WWII air combat.,Flight Sim,13+,49.99
357,War Thunder (Air),"Free‑to‑play air, land, sea combat.",Vehicle Combat,10+,0
358,World of Warplanes,Arcade aerial combat.,Vehicle Combat,10+,0
359,World of Tanks,Tank‑focused multiplayer battles.,Vehicle Combat,10+,0
360,MechWarrior 5: Mercenaries,Pilot giant mechs in combat missions.,Mech Combat,13+,29.99
361,Battletech,Turn‑based mech strategy.,Strategy,13+,39.99
362,Supreme Commander,Large‑scale RTS warfare.,Strategy,10+,14.99
363,Supreme Commander: Forged Alliance,Expanded large‑scale RTS.,Strategy,10+,14.99
364,StarCraft II,Competitive sci‑fi RTS.,Strategy,13+,0
365,Age of Empires II: Definitive Edition,Classic medieval RTS.,Strategy,10+,19.99
